BARRIO,POBLACION,CANTIDADSITIOS,CODIGO_BARRIO,COMUNA
AGRONOMIA,13912,2,AGR,15
ALMAGRO,131699,13,ALM,5
BALVANERA,138926,40,BAL,3
BARRACAS,89452,37,BAR,4
BELGRANO,126267,27,BEL,13
BOCA,45113,18,BOC,4
BOEDO,47306,10,BOE,5
CABALLITO,176076,29,CAB,6
CHACARITA,27761,14,CHA,15
COGHLAN,18604,3,COG,12
COLEGIALES,52551,16,COL,13
CONSTITUCION,44107,8,CON,1
FLORES,164310,46,FLO,7
FLORESTA,37575,9,FLA,10
LINIERS,44132,13,LIN,9
MATADEROS,64436,13,MAT,9
MONSERRAT,39914,34,MON,1
MONTE CASTRO,33623,6,MCA,10
NUEVA POMPEYA,42695,16,POM,4
NUÑEZ,51949,18,NUÑ,13
PALERMO,226534,60,PAL,14
PARQUE AVELLANEDA,53229,16,PAV,9
PARQUE CHACABUCO,56281,18,PCO,7
PARQUE CHAS,17489,4,PCH,15
PARQUE PATRICIOS,40985,45,PPA,4
PATERNAL,19717,8,PAT,15
PUERTO MADERO,6726,4,PMA,1
RECOLETA,157932,26,REC,2
RETIRO,65413,31,RET,1
SAAVEDRA,50295,18,SAA,12
SAN CRISTOBAL,48611,18,SCR,3
SAN NICOLAS,29273,78,SNI,1
SAN TELMO,20453,8,STE,1
VELEZ SARSFIELD,35081,4,VEL,10
VERSALLES,13822,2,VER,10
VILLA CRESPO,81959,11,VCR,15
VILLA DEL PARQUE,55273,10,VDP,11
VILLA DEVOTO,66521,19,VDE,11
VILLA GRAL. MITRE,34713,6,VGM,11
VILLA LUGANO,126374,37,VLG,8
VILLA LURO,32502,5,VLU,10
VILLA ORTUZAR,21736,4,VOR,15
VILLA PUEYRREDON,39654,4,VPU,12
VILLA REAL,13419,2,VRE,10
VILLA RIACHUELO,14084,7,VRI,8
VILLA SANTA RITA,33325,3,VST,11
VILLA SOLDATI,46779,32,VSO,8
VILLA URQUIZA,91563,10,VUR,12
